93 100038
4 67 82
52 83 18
7 40 88
63 92 54
6 75 21
38 62 64
3 44 10
4 60 42
6 77 67
29 45 53
63 85 14
33 51 38
37 47 89
55 68 34
43 78 17
35 67 74
48 91 89
2 22 22
54 68 3
20 88 93
55 70 80
3 58 93
22 44 78
22 85 79
27 67 84
28 81 43
37 59 99
35 60 34
18 88 12
20 81 53
8 91 36
13 44 57
27 79 94
4 16 93
84 88 30
37 52 59
26 45 69
44 89 28
50 88 54
17 62 52
1 73 57
36 89 38
18 83 18
28 37 94
78 84 10
67 72 86
27 72 27
19 61 84
17 55 12
56 62 34
1 25 16
49 66 39
8 38 1
81 88 46
52 58 95
14 60 22
18 37 23
54 89 75
7 64 27
39 45 33
26 52 85
6 60 32
10 56 83
56 57 40
8 33 7
43 75 45
14 55 28
31 85 28
15 91 99
0 80 42
15 31 48
6 55 38
49 73 55
13 27 22
29 81 2
43 87 55
21 29 58
21 70 59
17 64 74
32 54 8
72 78 51
46 55 70
63 84 81
15 26 54
23 28 90
34 87 34
22 24 95
25 59 70
1 87 89
23 79 55
41 85 75
63 77 41
46 67 80
29 76 8
21 24 64
15 38 64
31 92 44
39 47 55
5 45 33
40 61 14
80 85 57
49 80 71
12 58 18
38 47 24
40 63 60
15 89 2
7 78 59
8 54 79
12 60 64
13 77 85
13 75 12
32 63 70
36 69 55
71 85 36
38 59 34
32 75 80
39 54 71
10 34 54
26 88 34
0 5 2
35 47 40
38 54 40
4 52 18
9 75 24
11 91 60
13 82 28
0 58 13
35 59 50
1 60 90
36 76 71
18 70 51
19 46 71
51 66 5
38 66 50
37 90 30
17 88 13
9 87 34
10 29 60
62 75 41
80 87 79
54 64 98
16 25 24
21 38 96
37 92 76
62 77 87
8 25 34
43 67 72
29 92 86
29 51 85
16 27 70
27 52 20
0 72 69
1 14 95
15 62 3
2 28 54
7 10 59
3 45 75
68 90 22
42 67 41
51 80 61
78 85 99
45 59 97
62 70 47
28 68 25
68 92 68
0 65 29
35 66 66
36 83 87
7 63 70
59 90 1
43 62 78
66 88 42
15 16 8
15 57 9
2 23 60
11 52 81
16 34 86
33 64 86
43 72 15
52 91 72
40 43 77
15 69 19
18 89 50
8 34 96
24 28 25
39 78 10
26 44 61
27 61 82
30 50 46
32 43 87
16 85 24
57 66 37
61 72 22
24 81 36
28 46 20
33 59 92
8 85 34
12 91 19
48 49 26
0 33 90
20 46 30
11 18 66
55 88 68
6 8 86
22 62 66
6 47 14
82 91 33
15 25 70
28 89 97
81 87 38
57 80 93
23 59 21
6 49 60
12 45 24
79 83 12
31 33 82
4 34 81
10 65 9
71 72 69
38 46 67
5 27 72
22 57 72
61 79 38
41 77 51
46 59 56
28 53 36
13 14 4
4 87 92
56 58 78
19 36 25
11 25 82
39 80 32
12 40 30
30 52 68
6 54 30
46 52 16
15 73 87
20 55 92
16 87 46
21 69 51
4 39 51
25 75 36
46 54 62
31 40 98
31 81 99
21 71 97
18 55 11
15 85 97
