92 100091
0 1 1
1 2 14
2 3 87
3 4 98
4 5 70
5 6 7
6 7 40
7 8 18
8 9 59
9 10 19
10 11 22
11 12 13
12 13 82
13 14 25
14 15 60
15 16 91
16 17 9
17 18 49
18 19 70
19 20 100
20 21 17
21 22 45
22 23 40
23 24 65
24 25 77
25 26 64
26 27 69
27 28 30
28 29 52
29 30 81
30 31 98
31 32 5
32 33 74
33 34 1
34 35 8
35 36 34
36 37 72
37 38 35
38 39 64
39 40 9
40 41 50
41 42 71
42 43 30
43 44 79
44 45 17
45 46 25
46 47 8
47 48 48
48 49 81
49 50 39
50 51 100
51 52 8
52 53 5
53 54 46
54 55 67
55 56 86
56 57 48
57 58 17
58 59 87
59 60 65
60 61 98
61 62 94
62 63 3
63 64 5
64 65 15
65 66 29
66 67 93
67 68 29
68 69 99
69 70 50
70 71 57
71 72 57
72 73 99
73 74 70
74 75 4
75 76 98
76 77 63
77 78 25
78 79 60
79 80 73
80 81 41
81 82 59
82 83 62
83 84 52
84 85 81
85 86 81
86 87 15
87 88 7
88 89 1
89 90 89
90 91 47
50 49 20
10 8 52
33 37 92
1 28 43
68 41 17
76 18 100
77 15 88
55 50 20
91 30 42
36 58 11
51 52 14
84 57 18
56 18 68
3 15 70
13 72 63
81 64 79
22 34 87
63 48 75
5 88 8
33 7 55
15 10 15
29 81 14
19 48 86
74 59 9
45 73 79
17 10 44
83 62 24
84 59 32
17 64 45
20 5 40
89 81 79
20 75 73
9 42 46
28 72 18
68 6 60
82 51 27
35 52 53
49 14 65
29 51 18
14 32 7
70 68 26
67 1 68
41 62 90
56 45 50
18 41 87
7 32 57
72 86 80
55 8 15
90 28 52
6 44 89
35 68 83
76 13 89
80 85 10
15 33 46
15 49 95
86 67 85
68 12 42
76 78 30
55 26 21
64 5 77
36 43 91
7 53 24
60 79 87
10 49 73
20 0 11
58 18 9
43 47 23
28 53 17
17 4 95
45 51 21
40 86 45
86 31 78
67 76 96
15 75 62
37 78 47
27 51 48
40 7 70
51 25 52
20 56 52
11 63 89
82 25 75
12 31 51
61 74 35
23 86 33
49 9 60
24 69 97
22 54 59
63 62 86
25 30 29
8 67 43
33 14 15
84 80 4
21 10 81
47 34 65
56 63 66
10 82 31
76 57 19
7 59 40
10 17 99
55 59 16
58 66 94
84 57 32
33 57 86
77 42 78
83 6 3
37 61 47
66 71 8
41 82 19
28 55 73
20 89 1
85 57 56
13 86 18
79 32 6
66 50 29
6 28 38
4 74 66
33 90 72
58 52 99
44 62 87
43 47 71
89 55 93
6 30 6
16 62 33
46 15 80
42 64 79
11 57 20
24 58 1
48 49 33
52 26 34
76 65 99
25 80 78
84 41 13
3 51 44
25 68 91
81 40 80
16 76 87
45 82 34
73 3 18
54 64 6
78 43 17
38 7 64
50 5 71
75 73 55
53 55 18
12 13 91
32 69 99
28 57 67
22 41 85
68 29 25
20 21 68
21 4 9
87 42 37
7 10 81
81 52 50
81 60 72
68 12 46
65 63 88
24 11 35
17 18 67
64 17 56
44 12 80
5 34 82
51 52 56
77 68 12
15 83 15
29 61 12
21 4 52
71 66 48
73 45 66
18 2 43
15 64 67
7 66 43
0 41 86
84 9 54
38 48 66
67 53 68
6 26 35
77 11 45
21 42 99
77 84 33
79 1 84
20 52 16
8 28 12
76 5 75
55 43 39
90 37 49
49 84 31
1 37 1
82 83 61
65 52 80
79 40 88
18 81 83
33 32 12
85 73 93
42 54 28
71 64 64
27 16 60
64 15 69
51 75 8
35 82 2
63 74 39
60 76 33
2 50 97
90 35 84
60 89 33
31 22 98
61 24 24
23 85 48
3 75 42
6 81 55
11 61 49
88 32 3
21 15 53
23 51 43
11 24 96
32 90 78
85 49 69
44 18 82
61 67 14
45 62 19
35 28 63
31 17 81
6 21 44
90 5 59
81 72 48
12 21 76
44 28 26
39 53 69
45 26 39
13 42 56
27 18 82
22 17 92
24 47 89
80 78 38
67 82 100
69 26 73
25 38 71
66 62 43
61 54 53
65 22 71
34 1 72
34 45 97
4 29 69
5 25 38
46 12 16
0 52 9
60 75 54
13 33 6
50 21 68
48 54 37
20 44 94
76 89 24
70 89 32
86 29 92
46 11 4
32 17 31
15 11 26
19 43 84
14 45 54
87 2 13
47 11 91
0 5 27
63 57 58
78 54 59
47 8 11
22 74 81
65 90 14
30 57 61
36 48 48
82 81 53
39 56 61
18 14 49
8 34 48
26 74 7
