90 100089
0 1 37
1 2 25
2 3 35
3 4 97
4 5 38
5 6 36
6 7 75
7 8 42
8 9 4
9 10 39
10 11 56
11 12 73
12 13 38
13 14 23
14 15 87
15 16 19
16 17 57
17 18 97
18 19 1
19 20 80
20 21 96
21 22 68
22 23 96
23 24 31
24 25 92
25 26 32
26 27 74
27 28 72
28 29 13
29 30 34
30 31 74
31 32 60
32 33 29
33 34 37
34 35 9
35 36 80
36 37 12
37 38 88
38 39 80
39 40 55
40 41 8
41 42 69
42 43 87
43 44 22
44 45 94
45 46 90
46 47 95
47 48 65
48 49 84
49 50 42
50 51 47
51 52 28
52 53 100
53 54 34
54 55 51
55 56 81
56 57 53
57 58 76
58 59 2
59 60 48
60 61 100
61 62 35
62 63 18
63 64 40
64 65 98
65 66 53
66 67 5
67 68 31
68 69 76
69 70 66
70 71 95
71 72 89
72 73 43
73 74 66
74 75 25
75 76 89
76 77 66
77 78 20
78 79 24
79 80 73
80 81 64
81 82 51
82 83 66
83 84 3
84 85 74
85 86 62
86 87 36
87 88 4
88 89 88
46 88 16
62 33 26
71 31 14
24 30 86
65 17 63
56 19 47
66 1 47
74 43 73
79 7 14
19 8 56
56 10 9
63 82 66
13 12 71
74 54 22
86 17 23
15 24 79
44 24 95
45 69 7
53 9 93
61 72 45
22 12 15
2 56 19
34 27 75
85 75 99
85 4 39
12 33 75
77 73 68
31 28 86
52 64 3
16 78 99
68 22 100
18 3 82
18 71 33
25 22 74
78 6 66
16 54 14
67 86 27
18 86 71
5 72 29
32 18 24
81 11 10
69 57 43
28 88 71
33 28 16
40 58 42
43 6 56
8 31 50
69 47 85
88 29 63
13 47 88
17 70 19
41 74 72
13 74 31
24 56 99
35 48 89
2 65 69
8 86 81
82 83 46
17 70 17
30 8 95
65 62 98
49 59 61
24 45 54
40 7 100
27 73 59
29 5 46
23 81 53
13 84 71
5 15 94
87 81 11
31 63 69
10 52 92
34 45 48
52 70 40
84 42 59
41 85 26
39 22 74
59 24 89
10 14 26
85 70 92
45 17 63
13 67 15
40 7 69
13 62 2
62 73 71
74 45 20
54 12 30
2 72 33
58 34 61
20 77 84
66 81 38
88 74 4
34 35 86
12 35 66
24 57 45
77 25 97
16 76 4
60 52 32
11 13 64
11 30 8
1 46 88
71 15 31
7 30 72
28 17 42
37 86 56
23 67 17
29 64 60
66 62 61
42 53 56
17 74 3
85 44 38
45 16 45
77 29 47
28 4 18
32 18 43
19 32 15
52 77 5
80 43 29
35 73 17
75 48 26
10 43 63
55 11 90
25 34 21
53 82 94
33 77 90
4 34 69
34 48 100
45 36 45
22 38 56
29 47 39
36 20 77
25 79 75
50 69 92
12 52 31
48 12 73
55 3 85
87 76 37
32 75 5
47 25 23
24 22 48
84 18 41
59 81 24
25 13 82
12 66 43
75 17 75
13 8 18
78 49 27
57 62 62
6 17 62
70 1 14
4 37 74
65 29 73
10 69 10
78 79 54
78 25 1
10 11 9
41 35 60
87 40 97
27 56 48
9 62 33
57 63 85
77 83 3
72 76 23
35 48 20
57 44 84
41 16 55
76 43 48
78 54 49
16 7 77
81 88 88
24 53 74
60 53 48
70 36 12
60 18 51
60 81 55
33 51 96
16 24 54
8 18 100
57 24 27
81 41 24
64 19 37
55 3 71
52 33 93
39 69 41
84 38 11
38 57 58
83 64 34
73 84 24
13 52 6
58 12 88
60 32 51
49 47 97
42 63 1
7 31 48
89 36 15
44 49 92
21 8 70
84 1 87
9 66 9
39 65 16
57 0 34
41 80 78
22 12 67
63 87 88
22 65 76
39 64 88
71 78 88
70 76 64
24 73 38
29 10 94
15 60 70
59 29 48
74 15 16
37 4 4
3 70 7
79 38 51
74 53 82
70 73 40
27 3 1
3 43 52
6 17 37
59 14 49
75 56 79
36 25 88
58 67 98
24 80 58
52 48 27
82 75 3
72 59 51
85 88 15
15 67 5
9 5 76
13 19 81
76 18 75
66 80 38
63 87 61
15 3 72
42 5 83
78 68 53
42 56 92
42 49 53
27 32 34
10 1 68
6 32 47
27 75 81
72 20 25
13 6 79
42 30 3
72 76 51
89 9 30
16 24 29
86 77 32
37 74 89
39 81 64
14 86 72
31 27 7
5 7 74
85 32 37
80 62 78
56 40 32
2 26 58
24 38 71
70 55 19
78 47 5
22 23 37
21 27 3
31 0 9
26 70 91
26 31 33
52 56 55
19 35 22
75 8 3
17 65 76
74 67 34
64 63 22
46 2 32
37 85 41
66 83 50
53 2 13
89 64 80
0 47 58
40 57 14
3 60 70
70 29 73
44 40 21
17 49 57
73 74 100
36 85 37
36 59 78
25 32 17
33 42 12
58 54 23
29 6 81
87 7 95
54 9 40
26 70 28
25 61 96
23 53 78
25 17 58
42 87 33
27 32 51
15 80 34
85 34 4
67 5 75
51 78 90
85 46 4
22 81 51
82 46 80
72 57 4
62 37 40
10 31 50
60 36 15
22 73 86
1 17 38
6 7 93
23 12 78
33 45 95
38 14 28
71 78 45
9 48 43
13 81 1
37 10 50
87 53 58
47 87 54
4 23 6
67 85 31
13 37 59
11 49 84
49 9 32
80 17 40
62 27 49
63 61 43
67 56 82
62 0 88
4 5 78
32 17 93
40 25 29
33 29 79
71 14 92
55 26 3
32 57 34
23 82 25
12 69 97
5 36 55
12 9 33
61 66 69
27 12 53
31 11 56
87 26 93
71 83 13
9 75 51
36 34 40
87 73 13
28 82 85
86 17 99
17 10 35
35 73 46
42 37 100
72 36 68
53 37 30
30 24 30
24 17 18
38 33 96
59 1 79
88 61 10
15 55 23
24 66 93
10 11 67
83 58 99
85 2 79
33 30 71
89 29 40
62 66 26
56 50 14
77 9 66
79 63 65
42 52 5
10 27 31
59 53 62
59 80 42
19 10 100
46 3 60
52 82 36
45 26 93
1 72 28
76 7 20
1 11 67
4 40 70
28 0 9
31 0 60
86 3 99
34 24 38
51 34 54
34 83 66
56 16 37
50 45 90
39 82 10
9 83 92
52 77 36
10 12 49
55 10 22
82 86 20
62 8 34
14 34 100
17 5 70
16 88 88
54 15 74
45 9 25
57 72 55
12 10 7
0 81 81
87 41 41
63 81 88
26 31 21
75 29 54
85 74 78
41 79 71
68 10 48
14 55 55
62 63 4
72 85 35
5 10 49
60 22 85
35 75 27
19 23 44
14 34 30
71 1 27
75 36 99
5 78 59
13 46 83
36 79 59
56 31 43
19 34 60
9 61 6
62 36 45
38 22 90
38 34 48
75 3 65
45 27 4
63 6 26
2 74 46
0 45 39
87 79 25
42 72 53
22 16 28
87 39 56
33 0 96
76 13 58
54 43 14
65 16 22
79 55 34
9 41 72
68 69 52
62 46 37
88 10 29
78 88 2
12 41 20
1 12 76
73 20 75
32 38 88
86 12 89
47 40 28
29 51 22
29 0 67
18 69 93
41 70 33
73 75 22
51 56 47
41 43 41
67 19 43
38 59 12
30 2 16
72 2 20
31 85 54
24 9 30
64 23 13
11 6 54
80 7 2
65 21 87
53 12 10
10 40 73
10 63 80
75 25 100
65 2 83
68 37 87
52 46 78
68 44 71
66 19 78
82 39 45
86 2 66
0 18 76
45 68 9
13 6 64
59 61 100
63 6 54
16 74 92
12 60 7
40 4 53
56 45 3
59 42 42
50 15 89
51 68 25
21 44 55
82 36 52
19 88 63
29 18 76
23 39 52
58 16 22
66 4 56
63 65 33
16 80 22
72 32 93
8 34 7
36 80 88
31 42 34
42 27 5
36 17 29
53 66 58
69 50 88
84 47 24
10 69 97
2 61 46
72 36 78
72 8 11
20 25 40
38 0 41
68 18 50
69 38 100
1 50 69
79 83 10
36 60 79
20 58 80
52 51 59
31 9 50
63 3 95
13 85 10
11 51 8
15 38 50
25 19 100
50 42 11
21 84 23
47 16 31
77 20 37
64 3 48
5 86 54
60 36 33
65 24 3
33 37 41
5 22 26
83 48 75
64 83 91
2 21 24
15 11 94
76 77 26
46 29 18
35 19 10
0 12 68
12 21 73
51 46 14
73 57 56
16 18 54
77 82 36
41 65 27
9 77 28
50 47 17
30 13 40
24 57 31
19 79 81
35 51 63
59 7 10
40 41 33
22 42 45
81 54 7
65 86 50
78 32 32
61 63 98
64 75 32
25 13 62
17 73 27
88 20 60
24 63 22
83 55 32
10 76 64
64 59 73
38 78 69
39 3 37
22 28 14
50 46 17
2 22 98
32 37 22
18 12 15
45 42 75
52 33 87
89 64 91
79 81 46
50 53 23
18 71 85
19 48 50
54 26 28
52 66 70
74 75 84
11 66 49
82 48 36
69 20 88
51 60 16
20 85 92
13 7 80
71 33 84
31 3 2
85 57 45
62 11 82
25 15 61
0 50 57
69 48 9
33 20 60
28 7 55
89 78 65
4 16 66
84 58 76
1 49 49
46 34 36
11 38 54
48 59 28
42 29 89
13 18 100
24 75 23
47 43 84
9 21 65
7 21 84
11 8 12
77 40 24
24 6 100
5 17 35
76 81 19
54 21 39
51 1 67
2 74 89
17 30 91
39 0 24
7 79 94
40 59 36
73 19 9
26 7 93
52 80 13
28 11 30
44 49 90
65 21 98
34 36 100
82 33 4
36 78 59
53 83 100
88 29 49
81 37 51
80 14 79
27 32 61
49 13 44
56 43 73
75 6 37
37 71 77
68 22 17
60 87 62
57 61 66
27 2 26
45 32 76
44 45 59
79 80 93
30 19 33
41 79 46
13 8 27
8 37 61
46 73 41
25 37 99
16 84 17
28 41 70
59 68 75
39 72 48
26 19 70
80 39 67
24 31 38
89 23 17
17 19 84
59 84 19
80 33 97
2 66 94
32 44 10
28 34 79
9 51 31
14 84 34
56 32 61
43 55 63
19 5 18
79 39 80
43 47 27
38 0 56
7 65 10
88 85 50
41 17 13
43 19 69
76 15 23
51 7 50
36 86 95
4 8 85
76 80 14
32 20 83
48 17 11
35 2 72
37 33 93
8 47 61
62 46 34
1 60 40
20 18 77
23 62 5
47 73 18
20 1 6
37 59 35
83 81 95
81 62 71
42 21 41
35 57 85
80 15 3
59 56 33
22 28 55
36 60 82
22 52 49
55 4 82
77 71 38
6 20 25
59 60 57
30 64 97
21 22 69
61 46 71
50 70 7
33 27 79
14 63 91
84 4 27
67 57 84
57 41 88
17 10 79
27 80 66
61 54 16
11 45 71
14 52 17
28 87 10
10 82 1
54 79 62
79 70 4
74 68 2
1 48 61
29 54 88
7 17 97
47 2 43
73 53 80
11 8 70
47 70 23
60 72 98
87 75 21
23 17 60
46 72 4
15 0 50
81 56 49
9 31 23
11 67 7
21 19 24
34 35 40
27 73 63
31 20 79
8 46 68
12 38 51
13 5 69
41 21 15
46 9 2
26 56 10
26 78 96
16 4 46
30 40 73
53 16 4
0 59 48
86 70 89
39 59 71
74 64 100
45 79 11
68 69 83
77 55 29
33 45 37
29 9 93
14 35 37
18 71 17
37 35 92
41 15 90
24 75 90
8 28 41
57 55 60
68 31 79
61 71 53
77 70 46
25 59 74
41 47 65
38 3 21
31 36 62
56 29 19
73 5 50
4 26 60
41 39 25
82 9 71
